Factor base
1
-1669121445503958099638459425
11774494093137707
16000000
2 1
3 2
5 0
7 6
11 2
13 6
17 9
19 17
23 4
29 18
31 15
37 12
41 21
43 37
47 16
53 19
59 41
61 32
67 26
71 8
73 35
79 70
83 1
89 38
97 83
103 8
107 44
109 74
113 34
127 117
131 82
137 27
149 13
151 39
157 15
163 89
167 70
173 140
179 15
191 29
193 15
197 167
199 4
223 160
227 9
229 24
233 3
239 188
251 74
257 200
263 143
269 210
271 79
277 63
281 229
283 106
307 93
313 262
317 267
331 30
337 27
347 227
349 167
353 285
359 72
367 247
373 286
379 325
383 335
389 120
397 50
401 28
409 362
419 157
421 395
431 200
433 229
439 333
443 249
449 415
457 158
461 450
463 302
467 428
479 64
487 345
491 80
499 225
503 145
509 233
521 205
523 248
541 516
547 263
557 274
563 209
569 65
571 249
577 294
587 385
593 102
599 61
601 338
607 92
613 33
617 582
619 46
631 523
641 425
643 630
647 458
653 649
659 348
661 64
673 497
677 105
683 223
691 655
701 658
709 341
719 301
727 258
733 219
739 54
743 306
751 517
757 140
761 200
769 305
773 378
787 0
797 227
809 334
811 795
821 353
823 585
827 472
829 707
839 722
853 342
857 539
859 727
863 619
877 768
881 695
883 240
887 285
907 417
911 439
919 633
929 904
937 890
941 605
947 111
953 57
967 614
971 552
977 752
983 278
991 453
997 753
1009 667
1013 124
1019 933
1021 928
1031 324
1033 584
1039 691
1049 215
1051 670
1061 600
1063 1015
1069 591
1087 672
1091 576
1093 693
1097 37
1103 205
1109 959
1117 774
1123 1041
1129 92
1151 1100
1153 419
1163 26
1171 5
1181 1139
1187 37
1193 1135
1201 1107
1213 568
1217 195
1223 674
1229 441
1231 947
1237 256
1249 908
1259 491
1277 734
1279 292
1283 951
1289 1269
1291 1103
1297 785
1301 292
1303 993
1307 595
1319 836
1321 839
1327 74
1361 6
1367 2
1373 977
1381 661
1399 1168
1409 1306
1423 646
1427 381
1429 828
1433 1292
1439 1008
1447 256
1451 830
1453 1083
1459 1134
1471 1415
1481 1253
1483 1421
1487 286
1489 886
1493 552
1499 999
1511 189
1523 892
1531 1190
1543 798
1549 851
1553 322
1559 1517
1567 450
1571 682
1579 778
1583 975
1597 1123
1601 1305
1607 789
1609 539
1613 919
1619 1299
1621 1207
1627 402
1637 248
1657 782
1663 1031
1667 889
1669 105
1693 823
1697 876
1699 942
1709 89
1721 850
1723 1647
1733 1707
1741 40
1747 1406
1753 483
1759 177
1777 15
1783 1341
1787 965
1789 73
1801 154
1811 129
1823 1238
1831 1706
1847 1646
1861 1531
1867 0
1871 19
1873 719
1877 501
1879 6
1889 274
1901 265
1907 888
1913 1857
1931 233
1933 1619
1949 432
1951 841
1973 889
1979 1283
1987 1925
1993 1631
1997 458
1999 1799
2003 902
2011 1032
2017 1273
2027 1622
2029 2004
2039 246
2053 1990
2063 1243
2069 1851
2081 507
2083 1769
2087 1915
2089 1993
2099 1423
2111 605
2113 1204
2129 832
2131 251
2137 371
2141 1330
2143 270
2153 949
2161 149
2179 1541
2203 1948
2207 1527
2213 224
2221 1305
2237 2061
2239 1021
2243 666
2251 1211
2267 873
2269 565
2273 2178
2281 1775
2287 1382
2293 238
2297 1250
2309 448
2311 206
2333 494
2339 502
2341 2274
2347 1239
2351 1369
2357 2097
2371 479
2377 771
2381 26
2383 2133
2389 1579
2393 862
2399 2350
2411 1399
2417 227
2423 1127
2437 1641
2441 406
2447 1188
2459 89
2467 1835
2473 2440
2477 195
2503 2302
2521 1118
2531 264
2539 2083
2543 1482
2549 72
2551 2301
2557 2137
2579 2315
2591 1105
2593 415
2609 2041
2617 1440
2621 1997
2633 27
2647 2473
2657 2528
2659 2003
2663 1531
2671 1869
2677 925
2683 182
2687 1880
2689 2620
2693 83
2699 1113
2707 740
2711 957
2713 1534
2719 2503
2729 1903
2731 2599
2741 2456
2749 418
2753 1564
2767 1548
2777 1267
2789 1900
2791 2168
2797 986
2801 722
2803 337
2819 595
2833 2177
2837 607
2843 626
2851 724
2857 1422
2861 1877
2879 2801
2887 2264
2897 2117
2903 1377
2909 2234
2917 1007
2927 1279
2939 76
2953 2835
2957 1807
2963 2119
2969 1144
2971 1500
2999 1961
3001 957
3011 2513
3019 1267
3023 1288
3037 857
3041 1838
3049 2544
3061 2016
3067 2105
3079 1451
3083 1310
3089 2224
3109 2153
3119 1864
3121 173
3137 1667
3163 13
3167 1395
3169 855
